"","Rank0","Kingdom","Phylum","Class","Order","Family","Genus","OTU"
"Otu000039","Life","Life::Bacteria","Life::Bacteria::Firmicutes","Life::Bacteria::Firmicutes::Clostridia","Life::Bacteria::Firmicutes::Clostridia::Clostridiales","Life::Bacteria::Firmicutes::Clostridia::Clostridiales::Lachnospiraceae","Life::Bacteria::Firmicutes::Clostridia::Clostridiales::Lachnospiraceae::g__1","Life::Bacteria::Firmicutes::Clostridia::Clostridiales::Lachnospiraceae::g__1::Otu000039"
"Otu000381","Life","Life::Bacteria","Life::Bacteria::Firmicutes","Life::Bacteria::Firmicutes::Clostridia","Life::Bacteria::Firmicutes::Clostridia::Clostridiales","Life::Bacteria::Firmicutes::Clostridia::Clostridiales::Lachnospiraceae","Life::Bacteria::Firmicutes::Clostridia::Clostridiales::Lachnospiraceae::g__2","Life::Bacteria::Firmicutes::Clostridia::Clostridiales::Lachnospiraceae::g__2::Otu000381"
"Otu000167","Life","Life::Bacteria","Life::Bacteria::Firmicutes","Life::Bacteria::Firmicutes::Clostridia","Life::Bacteria::Firmicutes::Clostridia::Clostridiales","Life::Bacteria::Firmicutes::Clostridia::Clostridiales::Lachnospiraceae","Life::Bacteria::Firmicutes::Clostridia::Clostridiales::Lachnospiraceae::Blautia","Life::Bacteria::Firmicutes::Clostridia::Clostridiales::Lachnospiraceae::Blautia::Otu000167"
"Otu000159","Life","Life::Bacteria","Life::Bacteria::Firmicutes","Life::Bacteria::Firmicutes::Clostridia","Life::Bacteria::Firmicutes::Clostridia::Clostridiales","Life::Bacteria::Firmicutes::Clostridia::Clostridiales::Lachnospiraceae","Life::Bacteria::Firmicutes::Clostridia::Clostridiales::Lachnospiraceae::Coprococcus","Life::Bacteria::Firmicutes::Clostridia::Clostridiales::Lachnospiraceae::Coprococcus::Otu000159"
"Otu000414","Life","Life::Bacteria","Life::Bacteria::Firmicutes","Life::Bacteria::Firmicutes::Clostridia","Life::Bacteria::Firmicutes::Clostridia::Clostridiales","Life::Bacteria::Firmicutes::Clostridia::Clostridiales::Lachnospiraceae","Life::Bacteria::Firmicutes::Clostridia::Clostridiales::Lachnospiraceae::Coprococcus","Life::Bacteria::Firmicutes::Clostridia::Clostridiales::Lachnospiraceae::Coprococcus::Otu000414"
"Otu000459","Life","Life::Bacteria","Life::Bacteria::Firmicutes","Life::Bacteria::Firmicutes::Clostridia","Life::Bacteria::Firmicutes::Clostridia::Clostridiales","Life::Bacteria::Firmicutes::Clostridia::Clostridiales::Lachnospiraceae","Life::Bacteria::Firmicutes::Clostridia::Clostridiales::Lachnospiraceae::g__3","Life::Bacteria::Firmicutes::Clostridia::Clostridiales::Lachnospiraceae::g__3::Otu000459"
"Otu000201","Life","Life::Bacteria","Life::Bacteria::Firmicutes","Life::Bacteria::Firmicutes::Clostridia","Life::Bacteria::Firmicutes::Clostridia::Clostridiales","Life::Bacteria::Firmicutes::Clostridia::Clostridiales::Lachnospiraceae","Life::Bacteria::Firmicutes::Clostridia::Clostridiales::Lachnospiraceae::Coprococcus","Life::Bacteria::Firmicutes::Clostridia::Clostridiales::Lachnospiraceae::Coprococcus::Otu000201"
"Otu000487","Life","Life::Bacteria","Life::Bacteria::Firmicutes","Life::Bacteria::Firmicutes::Clostridia","Life::Bacteria::Firmicutes::Clostridia::Clostridiales","Life::Bacteria::Firmicutes::Clostridia::Clostridiales::Lachnospiraceae","Life::Bacteria::Firmicutes::Clostridia::Clostridiales::Lachnospiraceae::g__4","Life::Bacteria::Firmicutes::Clostridia::Clostridiales::Lachnospiraceae::g__4::Otu000487"
"Otu000071","Life","Life::Bacteria","Life::Bacteria::Firmicutes","Life::Bacteria::Firmicutes::Clostridia","Life::Bacteria::Firmicutes::Clostridia::Clostridiales","Life::Bacteria::Firmicutes::Clostridia::Clostridiales::Lachnospiraceae","Life::Bacteria::Firmicutes::Clostridia::Clostridiales::Lachnospiraceae::Incertae_Sedis","Life::Bacteria::Firmicutes::Clostridia::Clostridiales::Lachnospiraceae::Incertae_Sedis::Otu000071"
"Otu000038","Life","Life::Bacteria","Life::Bacteria::Firmicutes","Life::Bacteria::Firmicutes::Clostridia","Life::Bacteria::Firmicutes::Clostridia::Clostridiales","Life::Bacteria::Firmicutes::Clostridia::Clostridiales::Lachnospiraceae","Life::Bacteria::Firmicutes::Clostridia::Clostridiales::Lachnospiraceae::Lachnospira","Life::Bacteria::Firmicutes::Clostridia::Clostridiales::Lachnospiraceae::Lachnospira::Otu000038"
